# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct  1 07:10:39 2025
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
#
kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2
11446443,CONFIRMED,2.470613377,2.7000000e-08,-2.7000000e-08,0.8180,0.0010,-0.0010,1.74319,0.00107,-0.00107,1.4231e+04,4.200e+00,-4.200e+00,13.04,5.100e-01,-5.100e-01,1339.0,,,761.46,106.21,-95.76,4304.30,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380
10666592,CONFIRMED,2.204735417,4.3000000e-08,-4.3000000e-08,0.2240,0.1590,-0.2160,3.88864,0.00203,-0.00203,6.6747e+03,1.700e+00,-1.700e+00,16.10,8.100e-01,-9.100e-01,2048.0,,,4148.92,651.59,-654.46,5945.90,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100
6922244,CONFIRMED,3.522498429,1.9800000e-07,-1.9800000e-07,0.6310,0.0070,-0.0070,3.19843,0.00653,-0.00653,9.1457e+03,6.600e+00,-6.600e+00,14.59,1.110e+00,-1.110e+00,1521.0,,,1264.67,307.23,-276.48,1741.50,6225.00,112.00,-137.00,4.169,0.055,-0.045,1.4510,0.1100,-0.1100
10984090,CONFIRMED,3.709214104,6.5360000e-06,-6.5360000e-06,0.0510,0.3950,-0.0510,2.63020,0.04270,-0.04270,1.3110e+02,3.000e+00,-3.000e+00,1.16,1.700e-01,-1.200e-01,1206.0,,,500.46,197.96,-130.54,50.60,5833.00,105.00,-117.00,4.407,0.085,-0.114,1.0220,0.1430,-0.1070
10419211,FALSE POSITIVE,11.521446064,1.9800000e-06,-1.9800000e-06,2.4830,2.8510,-0.6730,3.63990,0.01140,-0.01140,1.7984e+04,3.190e+01,-3.190e+01,150.51,3.976e+01,-1.331e+01,753.0,,,75.88,58.89,-19.99,622.10,5795.00,155.00,-172.00,4.554,0.033,-0.176,0.8480,0.2240,-0.0750
10464078,FALSE POSITIVE,19.403937760,2.0680000e-05,-2.0680000e-05,0.8040,0.0070,-0.0050,12.21550,0.05980,-0.05980,8.9187e+03,5.330e+01,-5.330e+01,7.18,7.600e-01,-6.800e-01,523.0,,,17.69,6.66,-4.88,214.70,5043.00,151.00,-151.00,4.591,0.072,-0.048,0.6800,0.0720,-0.0650
10480982,FALSE POSITIVE,19.221388942,1.1230000e-06,-1.1230000e-06,1.0650,0.0310,-0.0340,4.79843,0.00235,-0.00235,7.4284e+04,2.190e+01,-2.190e+01,49.29,1.603e+01,-5.000e+00,698.0,,,55.97,54.55,-16.40,2317.00,6117.00,182.00,-200.00,4.496,0.052,-0.208,0.9470,0.3080,-0.0960
10485250,FALSE POSITIVE,16.469837740,1.3610000e-05,-1.3610000e-05,0.2920,0.1180,-0.1010,9.43780,0.06000,-0.06000,1.0479e+04,3.990e+01,-3.990e+01,7.94,8.900e-01,-8.900e-01,595.0,,,29.61,12.01,-8.91,303.40,5152.00,168.00,-153.00,4.517,0.088,-0.072,0.7860,0.0880,-0.0880
10526549,CONFIRMED,9.273581730,1.0370000e-05,-1.0370000e-05,0.3870,0.0040,-0.3860,3.28750,0.03090,-0.03090,1.2883e+03,1.680e+01,-1.680e+01,2.47,2.000e-01,-2.400e-01,649.0,,,41.85,12.49,-11.70,87.20,4856.00,131.00,-146.00,4.583,0.065,-0.035,0.6960,0.0560,-0.0680
10583066,CONFIRMED,6.029303290,5.5090000e-06,-5.5090000e-06,0.2580,0.1960,-0.2580,1.58210,0.03110,-0.03110,1.9127e+03,3.440e+01,-3.440e+01,2.85,2.600e-01,-1.500e-01,678.0,,,50.04,16.40,-9.88,65.40,4537.00,123.00,-123.00,4.648,0.020,-0.056,0.6720,0.0620,-0.0360
10583180,FALSE POSITIVE,2.696370652,7.5340000e-06,-7.5340000e-06,0.0440,0.3600,-0.0440,3.61290,0.06860,-0.06860,3.9790e+02,9.500e+00,-9.500e+00,1.58,1.300e-01,-1.600e-01,1066.0,,,305.34,96.64,-86.33,48.20,4989.00,149.00,-149.00,4.504,0.090,-0.060,0.8190,0.0670,-0.0820
10601284,CONFIRMED,5.349553819,8.8340000e-06,-8.8340000e-06,0.0920,0.3690,-0.0920,3.02780,0.04710,-0.04710,8.3100e+02,1.480e+01,-1.480e+01,2.55,1.600e-01,-2.400e-01,919.0,,,168.99,34.66,-38.48,60.60,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860
10601284,CONFIRMED,3.941052210,1.0940000e-05,-1.0940000e-05,0.2260,0.2430,-0.2260,2.59840,0.07370,-0.07370,3.6330e+02,1.390e+01,-1.390e+01,1.70,1.100e-01,-1.600e-01,1018.0,,,253.15,51.91,-57.65,28.90,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860
10601284,CONFIRMED,8.109048070,6.7870000e-05,-6.7870000e-05,0.0250,0.4250,-0.0250,3.59600,0.19800,-0.19800,2.1740e+02,1.680e+01,-1.680e+01,1.30,9.000e-02,-1.200e-01,800.0,,,97.03,19.90,-22.09,14.10,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860
2306756,FALSE POSITIVE,386.603052800,1.3690000e-04,-1.3690000e-04,0.9765,0.0497,-0.0268,6.80570,0.01840,-0.01840,2.4927e+04,4.580e+01,-4.580e+01,41.50,1.680e+00,-1.680e+00,297.0,,,1.84,0.26,-0.24,994.00,5543.00,79.00,-79.00,4.081,0.014,-0.014,1.5800,0.0640,-0.0640
10662202,CONFIRMED,21.676991930,7.0100000e-05,-7.0100000e-05,0.8960,0.0100,-0.6630,3.45550,0.06560,-0.06560,8.5720e+02,2.710e+01,-2.710e+01,2.95,1.200e-01,-2.300e-01,530.0,,,18.64,2.78,-3.80,34.30,4954.00,79.00,-79.00,4.500,0.075,-0.020,0.8280,0.0320,-0.0650
10682541,CONFIRMED,4.996779680,1.3890000e-05,-1.3890000e-05,0.7100,0.0060,-0.5330,2.17170,0.07620,-0.07620,9.3470e+02,3.970e+01,-3.970e+01,2.78,5.200e-01,-2.300e-01,917.0,,,166.95,102.06,-42.14,28.20,5339.00,175.00,-159.00,4.552,0.034,-0.136,0.8470,0.1610,-0.0690
11460018,CONFIRMED,4.280963604,6.1410000e-06,-6.1410000e-06,0.4240,0.1120,-0.3560,2.87500,0.04200,-0.04200,7.5080e+02,1.410e+01,-1.410e+01,2.30,5.800e-01,-1.900e-01,1012.0,,,247.87,182.24,-63.32,61.80,5644.00,152.00,-169.00,4.564,0.032,-0.168,0.8310,0.2070,-0.0690
11463211,FALSE POSITIVE,1.506354090,4.7000000e-07,-4.7000000e-07,0.8600,0.0420,-0.1250,1.51550,0.04830,-0.04830,2.2117e+03,1.830e+01,-1.830e+01,4.53,1.010e+00,-4.400e-01,1452.0,,,1054.12,703.10,-292.26,181.10,5714.00,155.00,-172.00,4.563,0.040,-0.160,0.8310,0.1860,-0.0800
11465813,FALSE POSITIVE,670.645531000,1.2370000e-03,-1.2370000e-03,0.7010,0.0040,-0.0050,53.41200,0.13100,-0.13100,1.8091e+04,3.350e+01,-3.350e+01,14.14,2.130e+00,-7.100e-01,196.0,,,0.35,0.15,-0.06,642.70,5520.00,100.00,-111.00,4.466,0.032,-0.120,0.9830,0.1480,-0.0490
11493732,FALSE POSITIVE,61.256362800,1.5600000e-04,-1.5600000e-04,1.2480,6.9120,-0.0670,7.63300,0.10500,-0.10500,5.1233e+03,7.060e+01,-7.060e+01,39.87,1.279e+01,-5.480e+00,505.0,,,15.43,14.85,-5.51,85.30,6144.00,184.00,-220.00,4.402,0.072,-0.217,1.0910,0.3500,-0.1500
11507101,CONFIRMED,38.377548600,1.6020000e-04,-1.6020000e-04,0.4680,0.4610,-0.2670,5.58800,0.11300,-0.11300,7.2420e+02,2.340e+01,-2.340e+01,2.82,3.700e-01,-3.400e-01,529.0,,,18.53,6.72,-4.93,34.70,5481.00,82.00,-74.00,4.369,0.121,-0.099,1.0360,0.1380,-0.1240
10910878,CONFIRMED,41.197255020,9.3450000e-05,-9.3450000e-05,0.0450,0.3370,-0.0450,4.62970,0.06330,-0.06330,2.2139e+03,4.550e+01,-4.550e+01,3.86,1.500e-01,-3.300e-01,439.0,,,8.76,1.27,-1.90,51.20,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720
10910878,CONFIRMED,6.252962249,9.5770000e-06,-9.5770000e-06,0.1050,0.3290,-0.1050,2.58190,0.04260,-0.04260,1.0369e+03,2.450e+01,-2.450e+01,2.65,1.000e-01,-2.300e-01,823.0,,,108.30,15.73,-23.44,47.10,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720
10987985,CONFIRMED,16.013084190,4.8540000e-05,-4.8540000e-05,0.7990,0.0970,-0.5510,3.25540,0.07910,-0.07910,1.1219e+03,3.940e+01,-3.940e+01,3.10,3.400e-01,-3.100e-01,593.0,,,29.31,11.77,-8.24,33.20,5015.00,164.00,-149.00,4.499,0.092,-0.115,0.8260,0.0910,-0.0820
11018648,CONFIRMED,32.628766720,5.8010000e-05,-5.8010000e-05,0.0210,0.4020,-0.0210,4.79710,0.05800,-0.05800,1.8048e+03,2.540e+01,-2.540e+01,3.36,7.600e-01,-3.300e-01,506.0,,,15.55,10.51,-4.18,80.00,5586.00,152.00,-152.00,4.560,0.050,-0.150,0.7980,0.1810,-0.0770
11018648,CONFIRMED,91.773286200,7.5180000e-04,-7.5180000e-04,0.6060,0.3350,-0.4000,6.47300,0.20400,-0.20400,6.5200e+02,3.620e+01,-3.620e+01,2.12,4.800e-01,-2.100e-01,359.0,,,3.92,2.64,-1.06,19.10,5586.00,152.00,-152.00,4.560,0.050,-0.150,0.7980,0.1810,-0.0770
11138155,CONFIRMED,4.959319244,5.1500000e-07,-5.1500000e-07,0.8310,0.0160,-0.0040,2.22739,0.00750,-0.00750,9.8020e+03,2.000e+01,-2.000e+01,12.21,1.960e+00,-1.460e+00,1103.0,,,349.40,146.52,-93.21,696.50,5712.00,77.00,-77.00,4.359,0.110,-0.110,1.0820,0.1730,-0.1300
11152159,FALSE POSITIVE,2.701287801,5.6340000e-06,-5.6340000e-06,1.0160,3.9670,-0.0590,3.38270,0.08920,-0.08920,8.6040e+02,2.090e+01,-2.090e+01,6.54,1.640e+00,-7.500e-01,1222.0,,,527.81,411.33,-166.35,48.30,5550.00,182.00,-182.00,4.468,0.091,-0.169,0.9100,0.2280,-0.1050
11153539,CONFIRMED,4.498765110,1.7770000e-05,-1.7770000e-05,0.3120,0.1540,-0.3120,3.73620,0.09340,-0.09340,4.6000e+02,1.750e+01,-1.750e+01,2.10,6.500e-01,-2.200e-01,1133.0,,,389.62,365.71,-117.40,29.50,6075.00,189.00,-210.00,4.486,0.052,-0.208,0.9690,0.3000,-0.1000
11242721,FALSE POSITIVE,19.651209505,5.8620000e-06,-5.8620000e-06,0.7230,0.0100,-0.0200,5.25140,0.01790,-0.01790,1.1766e+04,2.770e+01,-2.770e+01,12.42,3.920e+00,-1.690e+00,730.0,,,67.03,62.46,-23.51,513.40,6074.00,168.00,-210.00,4.391,0.090,-0.210,1.0630,0.3360,-0.1440
9579641,CONFIRMED,5.412203927,3.0520000e-06,-3.0520000e-06,0.7870,0.0050,-0.5650,2.94720,0.02400,-0.02400,6.0160e+02,4.000e+00,-4.000e+00,2.94,4.300e-01,-3.800e-01,1093.0,,,337.68,137.29,-102.18,166.70,5779.00,104.00,-115.00,4.339,0.132,-0.108,1.0870,0.1570,-0.1420
11304958,CONFIRMED,41.439586620,7.5570000e-05,-7.5570000e-05,0.3550,0.0400,-0.3550,10.59890,0.08800,-0.08800,2.7931e+03,2.260e+01,-2.260e+01,5.50,1.570e+00,-9.600e-01,516.0,,,16.72,14.66,-6.64,141.10,5468.00,180.00,-164.00,4.367,0.153,-0.187,1.0460,0.2970,-0.1830
11391957,CONFIRMED,8.353895230,1.5240000e-05,-1.5240000e-05,0.0230,0.4230,-0.0230,2.25140,0.05180,-0.05180,1.0416e+03,2.820e+01,-2.820e+01,2.52,5.400e-01,-2.400e-01,790.0,,,91.90,59.06,-24.15,43.40,5592.00,152.00,-152.00,4.582,0.036,-0.144,0.7870,0.1690,-0.0730
11403044,CONFIRMED,4.125543472,3.1330000e-06,-3.1330000e-06,0.5970,0.2350,-0.3670,3.17440,0.03620,-0.03620,1.4873e+03,1.330e+01,-1.330e+01,4.43,1.440e+00,-5.100e-01,1243.0,,,565.35,542.47,-188.14,128.60,6174.00,173.00,-239.00,4.417,0.056,-0.210,1.1030,0.3580,-0.1280
11414511,CONFIRMED,2.816504904,1.6500000e-07,-1.6500000e-07,0.1050,0.2640,-0.1190,2.50587,0.00666,-0.00666,1.6814e+04,1.100e+01,-1.100e+01,12.21,1.620e+00,-8.700e-01,1219.0,,,521.13,184.34,-97.95,1406.80,5532.00,74.00,-83.00,4.452,0.063,-0.108,0.9550,0.1270,-0.0680
11442465,FALSE POSITIVE,33.933734470,6.1540000e-05,-6.1540000e-05,0.8120,0.0060,-0.0090,14.56100,0.10400,-0.10400,8.5037e+03,4.430e+01,-4.430e+01,7.34,9.000e-01,-6.000e-01,430.0,,,8.11,3.25,-2.06,236.10,5040.00,136.00,-151.00,4.628,0.030,-0.070,0.7050,0.0860,-0.0580
12110942,CONFIRMED,3.689920099,8.9820000e-06,-8.9820000e-06,0.1510,0.3040,-0.1510,2.65570,0.06770,-0.06770,4.2670e+02,1.380e+01,-1.380e+01,1.89,5.400e-01,-2.000e-01,1147.0,,,408.99,342.24,-123.32,35.60,5880.00,157.00,-192.00,4.518,0.046,-0.196,0.9170,0.2620,-0.0980
12366084,CONFIRMED,4.431238488,6.1060000e-06,-6.1060000e-06,0.4050,0.0410,-0.4050,3.15000,0.04230,-0.04230,1.0109e+03,1.520e+01,-1.520e+01,3.25,4.700e-01,-2.500e-01,1104.0,,,351.23,135.26,-68.33,71.10,5714.00,77.00,-77.00,4.428,0.063,-0.117,1.0150,0.1480,-0.0790
12366084,CONFIRMED,11.379369860,2.4150000e-05,-2.4150000e-05,0.9110,0.0090,-0.6560,2.62550,0.07300,-0.07300,1.0235e+03,2.970e+01,-2.970e+01,3.95,5.700e-01,-3.100e-01,806.0,,,99.68,38.38,-19.39,37.90,5714.00,77.00,-77.00,4.428,0.063,-0.117,1.0150,0.1480,-0.0790
12404086,CONFIRMED,26.394328970,5.7240000e-05,-5.7240000e-05,0.6020,0.2500,-0.3960,3.57300,0.06430,-0.06430,1.5109e+03,3.630e+01,-3.630e+01,3.07,4.100e-01,-2.200e-01,489.0,,,13.49,6.07,-3.21,48.20,5129.00,154.00,-154.00,4.595,0.030,-0.084,0.7630,0.1030,-0.0550
8395660,CONFIRMED,13.570782810,1.5850000e-05,-1.5850000e-05,0.8660,0.0150,-0.6210,3.35390,0.04890,-0.04890,5.1170e+02,6.300e+00,-6.300e+00,2.64,4.000e-01,-2.700e-01,785.0,,,89.61,38.12,-22.92,88.40,5854.00,105.00,-117.00,4.406,0.090,-0.110,1.0120,0.1540,-0.1030
9579641,CONFIRMED,7.125943870,1.4060000e-05,-1.4060000e-05,0.8980,0.0130,-0.6990,3.00140,0.03840,-0.03840,1.9240e+02,4.400e+00,-4.400e+00,1.79,2.600e-01,-2.300e-01,997.0,,,233.31,94.86,-70.60,47.10,5779.00,104.00,-115.00,4.339,0.132,-0.108,1.0870,0.1570,-0.1420
11656840,FALSE POSITIVE,7.442652004,7.0200000e-07,-7.0200000e-07,0.1370,0.3460,-0.2240,2.30780,0.01290,-0.01290,2.4446e+04,3.780e+01,-3.780e+01,15.03,4.730e+00,-1.580e+00,967.0,,,206.78,195.52,-61.76,835.60,6108.00,183.00,-201.00,4.469,0.070,-0.210,0.9560,0.3010,-0.1000
11754553,CONFIRMED,16.384899880,5.2190000e-05,-5.2190000e-05,0.0010,0.4370,-0.0010,3.02490,0.07980,-0.07980,1.1271e+03,4.200e+01,-4.200e+01,2.00,9.000e-02,-1.000e-01,433.0,,,8.35,1.49,-1.35,28.90,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.6150,0.0270,-0.0290
11754553,CONFIRMED,7.877416300,1.4930000e-05,-1.4930000e-05,0.0410,0.4090,-0.0410,2.08050,0.05170,-0.05170,1.3061e+03,3.770e+01,-3.770e+01,2.16,9.000e-02,-1.100e-01,553.0,,,22.18,3.97,-3.59,38.70,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.6150,0.0270,-0.0290
11754553,CONFIRMED,36.445400100,1.8090000e-04,-1.8090000e-04,0.0280,0.4370,-0.0280,4.00700,0.12600,-0.12600,1.1223e+03,5.340e+01,-5.340e+01,1.99,9.000e-02,-9.000e-02,332.0,,,2.88,0.51,-0.47,21.70,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.6150,0.0270,-0.0290
11812062,CONFIRMED,3.728732147,9.3600000e-07,-9.3600000e-07,0.5580,0.1300,-0.1490,2.68300,0.03500,-0.03500,5.2265e+03,1.850e+01,-1.850e+01,6.02,1.220e+00,-5.200e-01,1023.0,,,258.34,162.58,-65.21,345.20,5497.00,166.00,-149.00,4.577,0.034,-0.136,0.8090,0.1640,-0.0700
11818800,CANDIDATE,40.419503700,1.1390000e-04,-1.1390000e-04,0.9110,5.5670,-0.1180,3.36200,0.14000,-0.14000,6.2560e+03,2.300e+02,-2.300e+02,7.51,1.120e+00,-9.100e-01,467.0,,,11.29,5.67,-3.57,36.90,5446.00,179.00,-163.00,4.507,0.116,-0.105,0.7810,0.1160,-0.0950
11853255,CONFIRMED,2.243380573,2.6700000e-06,-2.6700000e-06,0.9150,0.0090,-0.6300,1.11960,0.03840,-0.03840,8.2170e+02,2.560e+01,-2.560e+01,1.99,1.000e-01,-1.200e-01,822.0,,,107.60,21.47,-20.32,38.90,4149.00,82.00,-91.00,4.698,0.024,-0.027,0.5640,0.0300,-0.0330
11909839,FALSE POSITIVE,10.405998015,2.5150000e-06,-2.5150000e-06,0.3240,0.0610,-0.0750,6.50360,0.01450,-0.01450,1.4489e+04,2.240e+01,-2.240e+01,11.23,2.920e+00,-1.950e+00,833.0,,,113.94,90.01,-45.01,745.20,5746.00,173.00,-173.00,4.393,0.180,-0.198,0.9240,0.2410,-0.1600
11918099,CONFIRMED,2.337437946,1.9510000e-06,-1.9510000e-06,0.2800,0.1890,-0.2800,1.99820,0.02710,-0.02710,9.7120e+02,1.370e+01,-1.370e+01,2.34,1.700e-01,-9.000e-02,1070.0,,,311.16,69.46,-40.17,82.40,5005.00,79.00,-79.00,4.595,0.012,-0.064,0.7650,0.0550,-0.0280
